ticker,article_count,date_first,date_last,sample_headline,ambiguity_note
BA,1238,2018-03-21,2020-07-17,China Southern places $3.6 billion Boeing 737 MAX order for Xiamen Airlines subsidiary,
TSLA,699,2018-03-20,2020-07-16,Tesla denies Musk in talks with Israeli AI vision firm Cortica,
AMZN,667,2018-03-20,2020-07-16,"Amazon is now second most valuable U.S.-listed company, tops Alphabet",
AAPL,641,2018-03-23,2020-07-16,Ireland chooses investment firms to manage Apple cash,
META,611,2018-03-20,2020-07-18,UK will always consider ways to improve data laws: PM May's spokesman,
VWAGY,524,2018-03-20,2020-07-17,Prosecutors search Volkswagen headquarters in new emissions investigation,
EADSY,507,2018-03-20,2020-07-14,Pratt & Whitney to deliver spare A320neo engines soon to India's IndiGo: source,
GOOGL,454,2018-03-20,2020-07-17,"Amazon is now second most valuable U.S.-listed company, tops Alphabet",
UBER,367,2018-03-20,2020-07-16,"Factbox: How United States, others regulate autonomous vehicle testing",
GM,360,2018-03-21,2020-07-08,Tension in information sharing over GM's Korea unit audit: South Korea government official,
GOOG,340,2018-03-20,2020-07-17,"Amazon is now second most valuable U.S.-listed company, tops Alphabet",
DB,314,2018-03-21,2020-07-16,"Deutsche Bank sees $550 million first-quarter impact from strong euro, funding costs",
GS,284,2018-03-21,2020-07-16,"Goldman Sachs, Wellcome Trust in joint bid for Network Rail's commercial property estate",
SFTBY,267,2018-03-26,2020-07-15,SoftBank mulls $1 billion investment in Chinese truck-hailing firm: WSJ,
WMT,242,2018-03-27,2020-07-16,"In China payment war, Walmart places bet on Tencent",
JPM,235,2018-04-02,2020-07-14,Blockchain executive Amber Baldet to leave JPMorgan,
F,232,2018-03-22,2020-07-10,"U.S. carmaker Ford, India's Mahindra to develop SUVs, electric vehicle",
NDAQ,177,2018-04-23,2020-07-15,Wall Street ends mixed as investors eye earnings,"'nasdaq' mostly used as exchange name, not the listed company"
C,167,2018-03-22,2020-07-14,Citi sets restrictions on gun sales by retail clients,
GE,160,2018-03-20,2020-06-15,General Electric announces 225 orders for refurbished locomotives,
WFC,157,2018-03-27,2020-07-14,Chicago can pursue part of Wells Fargo predatory lending case,
DIS,153,2018-04-03,2020-07-18,Murdoch's Fox could sell Sky News to Disney to appease UK regulator,
MSFT,150,2018-04-17,2020-07-16,"Tech firms, including Microsoft, Facebook, vow not to aid government cyber attacks",
SSNLF,149,2018-03-22,2020-07-09,Samsung Elec expects uncertainty from protectionism in 2018: chairman,
BABA,137,2018-03-20,2020-07-15,"Exclusive: On Amazon, a quarter of merchants' sales are cross-border",
DOW,134,2018-03-23,2020-07-14,Wall Street nosedives as investors flee on trade war fears,"'dow' frequently refers to Dow Jones index, not Dow Inc."
T,132,2018-03-20,2020-06-28,Start of AT&T-Time Warner trial delayed until Thursday due to bad weather,
QCOM,130,2018-03-23,2020-06-17,Qualcomm re-elects board of directors with tepid support,
FOX,129,2018-03-22,2020-07-01,Four senior UK politicians urge regulator to block Murdoch-Sky deal,
TM,126,2018-03-28,2020-07-06,"Toyota, Suzuki to supply each other cars in India - Nikkei",
XOM,123,2018-03-20,2020-07-16,Exxon eyes Gulf of Mexico plastics plant to meet Asia demand,
TMUS,122,2018-04-11,2020-06-24,"Sprint-T-Mobile merger talks back on, control key: sources",
NFLX,118,2018-04-06,2020-07-17,Netflix offering more than $300 million for billboard company: sources,
BLK,117,2018-03-23,2020-07-17,Ireland chooses investment firms to manage Apple cash,
PCG,114,2018-11-14,2020-07-16,PG&E shares and bonds plunge as California wildfire risks mount,
JNJ,113,2018-04-16,2020-07-17,J&J Baby Powder litigation takes new focus with asbestos claims,
UBS,110,2018-03-21,2020-07-17,UBS in $230 million settlement of New York mortgage securities probe,
UPS,108,2018-04-11,2020-07-13,Bombardier delivered five CSeries in first quarter as delays ease: sources,
BAC,106,2018-03-23,2020-07-16,Twenty-First Century Fox replaces Bank of America in Sky lending syndicate,
LUV,105,2018-04-20,2020-06-17,"U.S., Europe order emergency checks on engine type in Southwest accident",
LYFT,104,2018-03-27,2020-07-17,Lyft co-founder: Fatal Uber crash should have been prevented,
BRK-B,103,2018-03-27,2020-07-15,"China's BYD warns profit to plunge on electric car subsidy cuts, shares tumble",
SBUX,101,2018-03-21,2020-07-09,Starbucks' mobile order push meets resistance from ritual seekers,
HSBC,98,2018-03-29,2020-07-17,HSBC to pay $100 million to end Libor rigging lawsuit in U.S.,
MS,94,2018-03-22,2020-07-17,Morgan Stanley to hire 80 in Paris after Brexit: source,
CMCSA,92,2018-04-19,2020-07-14,"Fox chose Disney over Comcast on regulatory, stock fears: filing",
CVX,87,2018-03-21,2020-06-25,Chevron says it will not dispute climate science in U.S. lawsuit,
BX,84,2018-03-20,2020-07-13,"Blackstone co-founder Peter Peterson dies, aged 91",
LMT,83,2018-03-23,2020-07-14,Boeing loses case against Denmark over fighter jet deal,
INTC,82,2018-04-02,2020-07-08,Apple plans to replace Intel chips in Macs with its own: Bloomberg,
DAL,81,2018-04-04,2020-07-17,"Sears Holding, Delta Air hit by customer data breach at tech firm",
BCS,77,2018-03-29,2020-07-13,Barclays $2 billion fraud fine resolves major U.S. legal issue,
NKE,75,2018-03-22,2020-06-26,"Nike forecasts reversal in North America sales decline, tops estimates",
MCD,74,2018-03-20,2020-07-02,McDonald's sets greenhouse gas reduction targets,
SO,73,2018-03-21,2020-07-10,China Southern places $3.6 billion Boeing 737 MAX order for Xiamen Airlines subsidiary,
TCEHY,68,2018-03-23,2020-07-10,Tencent loses $24 billion in market cap after Naspers' selldown,
BP,63,2018-03-29,2020-07-14,BP chief Dudley's 2017 pay rises after previous year's cut,
SNAP,59,2018-03-20,2020-07-16,Social media stocks tumble as Wall Street fears regulation,
ABNB,57,2018-04-26,2020-07-15,Palma in Spain's Balearic Islands bans almost all Airbnb-style rentals,
FDX,55,2018-05-08,2020-07-10,"MetLife to provide pension benefits to 41,000 FedEx retirees through annuity",
SHEL,55,2018-03-28,2020-06-30,Shell targets former executive in Nigeria graft complaint,
KKR,52,2018-06-11,2020-07-06,KKR to take Envision private for $5.57 billion in healthcare push,
OXY,51,2018-07-24,2020-06-25,Exclusive: Occidental Petroleum explores sale of pipeline assets - sources,
